sample_id,distance,dist_factor,trans_err,trans_perc_err,yaw_err,KF
38,174.03,dist2,235.49746952242305,135.32004224698215,2.855263338899065,no
39,174.03,dist2,257.44090658200616,147.92903900592208,2.746293339357003,no
40,174.03,dist2,240.93252480380008,138.44309877825663,1.6615130220309011,no
41,174.03,dist2,236.9024629369412,136.1273705320584,1.6540363665927111,no
42,174.03,dist2,233.51812540301864,134.18268425157655,1.668909580799434,no
43,174.03,dist2,219.4219727036136,126.082843592262,2.007279807289031,no
44,174.03,dist2,234.6998486705454,134.8617184798859,5.546745139521752,no
45,174.03,dist2,230.4505848843516,132.4200338357476,9.443324917494456,no
46,174.03,dist2,232.15671863877373,133.40040144732157,34.540083970947826,no
47,174.03,dist2,225.0390942094985,129.31051784720938,75.07638323520601,no
48,174.03,dist2,186.33863257612828,107.07270733559058,169.20151422476644,no
49,174.03,dist2,167.45816680033988,96.22373544810658,164.42309231661744,no
50,174.03,dist2,138.5538223143952,79.61490680595024,162.1595934741497,no
51,174.03,dist2,117.59831026213696,67.57358516470549,161.0589473062907,no
52,174.03,dist2,107.75989370873457,61.920297482465415,160.7243451239996,no
53,174.03,dist2,61.97949708966184,35.61426023654647,159.15097184575004,no
54,174.03,dist2,57.4435525652978,33.007844949317814,159.08226390876487,no
55,174.03,dist2,55.73277551969414,32.02480923961049,159.03557534063947,no
56,174.03,dist2,64.60388062943197,37.12226663760959,159.5254374595548,no
57,174.03,dist2,94.51217926078658,54.3079809577582,158.390051525506,no
58,174.03,dist2,102.97992636646208,59.17366337209795,158.1869396599705,no
59,174.03,dist2,123.34870336099765,70.87783908578844,158.45238477866687,no
60,174.03,dist2,151.33401228373742,86.95857741983419,162.4717737313511,no
61,174.03,dist2,184.2490191075476,105.87198707553156,168.4410361751623,no
62,174.03,dist2,282.88820310686015,162.55140096929273,172.31038686699856,no
63,174.03,dist2,300.3720261954503,172.5978430129577,140.4805007363873,no
64,174.03,dist2,321.61709092152665,184.8055455504951,74.89775909956573,no
65,174.03,dist2,313.1618842242095,179.94706902500113,34.452580443225905,no
66,174.03,dist2,275.06711934906565,158.0573000914013,6.789855403238091,no
67,174.03,dist2,258.9709060922534,148.80819749023354,2.7516163347484546,no
68,174.03,dist2,239.6423110041385,137.70172441770873,1.0014803743868452,no
69,174.03,dist2,260.34830213355747,149.5996679500991,0.2604048390935289,no
70,174.03,dist2,246.26210107387087,141.5055456380342,0.1921805030834389,no
71,174.03,dist2,244.67243784495415,140.592103571197,0.4949951631878593,no
72,174.03,dist2,228.82555843683815,131.48627158354202,0.7698440193567275,no
73,174.03,dist2,214.35919763682884,123.173704325018,1.0530723152889117,no
1,261.05,dist3,470.4991093641418,180.23333053596696,20.81612449564456,no
2,261.05,dist3,453.28475669695416,173.63905638649842,12.658665935548008,no
3,261.05,dist3,417.3612056778146,159.87787997617872,6.289021007627037,no
4,261.05,dist3,403.5140156752828,154.57345936613015,13.294239492888549,no
5,261.05,dist3,396.4693536968946,151.87487213058594,25.12438111066276,no
6,261.05,dist3,390.8929848905898,149.73874157846768,63.58129756541864,no
7,261.05,dist3,374.8057632196224,143.57623567118264,173.55917261559023,no
8,261.05,dist3,334.154230950636,128.0039191536625,175.97637112233016,no
9,261.05,dist3,311.52907350402097,119.33693679525798,173.4822521912076,no
10,261.05,dist3,291.1222666009256,111.51973438074148,173.31769079306395,no
11,261.05,dist3,255.7388918039869,97.96548239953528,172.53674856864305,no
12,261.05,dist3,245.60200161169448,94.08236031859585,172.6393081322118,no
13,261.05,dist3,196.47480695298336,75.263285559465,173.54644472645754,no
14,261.05,dist3,172.66802764015037,66.14366122970709,173.44521652632378,no
15,261.05,dist3,162.12053966520392,62.10325212227693,173.60429864802393,no
16,261.05,dist3,151.75932737081055,58.1341993376022,172.82457784698116,no
17,261.05,dist3,86.69487544930132,33.21006529373734,173.04367843034942,no
18,261.05,dist3,63.53177705398376,24.33701476881201,173.6761844710754,no
19,261.05,dist3,44.5568847400052,17.068333552961192,174.86267558374988,no
20,261.05,dist3,37.73306268362832,14.454343108074436,172.7118551532085,no
21,261.05,dist3,59.22236243798311,22.68621430300061,171.40010621551434,no
22,261.05,dist3,97.9026832821636,37.50342205790599,170.68596674745217,no
23,261.05,dist3,123.972279861623,47.48986012703429,170.4258011673555,no
24,261.05,dist3,149.89588968506274,57.42037528636765,169.49756732534408,no
25,261.05,dist3,175.86367335510764,67.36781204945706,169.7531640012733,no
26,261.05,dist3,199.45104068928023,76.40338658850038,168.28544772565644,no
27,261.05,dist3,233.4021811898584,89.40899490130563,168.09329547693733,no
28,261.05,dist3,238.18732349132569,91.24203159981828,168.60079120635848,no
29,261.05,dist3,233.21610104242563,89.3377134811054,172.4341016166808,no
30,261.05,dist3,234.2508089741608,89.73407736991412,175.90164250246914,no
31,261.05,dist3,190.97994609453423,73.15837812470185,175.37488671853703,no
32,261.05,dist3,123.39291098369615,47.26792223087384,160.53688504657677,no
33,261.05,dist3,39.02512107471996,14.949289819850586,120.55401335089148,no
34,261.05,dist3,48.803638672527626,18.695130692406675,55.583013528209314,no
35,261.05,dist3,212.16193217911643,81.27252717070157,16.945478729139506,no
36,261.05,dist3,280.32259193197825,107.38272052556148,11.688479296410916,no
37,261.05,dist3,335.35461810569865,128.46374951377078,8.528576566338511,no
38,261.05,dist3,356.6766717193149,136.63155400088678,5.614244967140552,no
39,261.05,dist3,365.4124548155771,139.97795625955837,8.886590278627171,no
40,261.05,dist3,353.8345741408708,135.54283629223164,62.66628643389433,no
41,261.05,dist3,329.28885288298625,126.1401466703644,167.66933377923323,no
42,261.05,dist3,305.22034828467514,116.9202636600939,170.40302280755523,no
43,261.05,dist3,283.9541349505223,108.77384981824258,165.36568162765374,no
44,261.05,dist3,213.2286413680561,81.68114972919213,162.02968893895874,no
45,261.05,dist3,176.36140112855605,67.55847582017087,161.35760781924296,no
46,261.05,dist3,164.29867109587445,62.93762539585307,161.75704652557778,no
47,261.05,dist3,141.05931410664334,54.03536261507119,160.85830282302433,no
48,261.05,dist3,95.11594698664534,36.435911506089,160.58671408650127,no
49,261.05,dist3,83.87115755266275,32.12838825997424,161.03686457705064,no
50,261.05,dist3,60.7045001372666,23.253974387001183,160.90163442703633,no
51,261.05,dist3,54.64698723052991,20.93353274488792,160.18854779665605,no
52,261.05,dist3,57.03769802680116,21.84933845117838,159.69930446786356,no
53,261.05,dist3,88.93361715133011,34.067656445634974,159.8182969472006,no
54,261.05,dist3,99.4811027433912,38.10806464025711,159.75558635744613,no
55,261.05,dist3,119.870520493647,45.918605820205705,160.28823796710878,no
56,261.05,dist3,141.67664644291162,54.27184311163057,160.70461002724898,no
57,261.05,dist3,173.31024044013472,66.38967264513876,158.97222197772217,no
58,261.05,dist3,209.38591827155776,80.20912402664537,159.08243365832857,no
59,261.05,dist3,225.456750489596,86.36535165278528,159.4223644917277,no
60,261.05,dist3,272.29215847385484,104.30651540848682,163.41405939671114,no
61,261.05,dist3,330.11054086026195,126.45490935079944,169.42361799662848,no
62,261.05,dist3,424.0923669826346,162.45637501728964,172.357933276581,no
63,261.05,dist3,449.3030437277044,172.1137880588793,145.9273685613948,no
64,261.05,dist3,453.6699074366669,173.78659545553222,87.99485512182402,no
65,261.05,dist3,443.2986445928677,169.81369262320158,40.21185910294671,no
66,261.05,dist3,368.60934084932353,141.20258220621471,7.900191572709457,no
67,261.05,dist3,327.3134547802214,125.38343412381587,2.7465342023344346,no
68,261.05,dist3,305.6658661059017,117.09092744911004,0.966612964743562,no
1,348.07,dist4,524.0838839996283,150.56853046790252,156.8149725734016,no
2,348.07,dist4,472.1093376552933,135.63631960677256,163.87913479857684,no
3,348.07,dist4,394.7162419152797,113.40139682112212,167.47707998558275,no
4,348.07,dist4,333.7781905398232,95.89398412383233,171.6702131634042,no
5,348.07,dist4,306.21003101561536,87.9736923652183,172.1834079187483,no
6,348.07,dist4,279.2954811047705,80.24118168896214,172.86134924873826,no
